ANIO;MES;OFICINA;CHASIS;CLASE;SUBCLASE;CARROCERIA;MARCA;MODELO;ORIGEN;FORMULARODANTE; PBV ;FABRICACION
2019;ABRIL;LIMA;122489;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FE 6X4R;FRANCE                                                      ;6X4;28500;2018
2019;ABRIL;LIMA;118927;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FE 6X2R;FRANCE                                                      ;6X2;26,500;2018
2019;ABRIL;LIMA;119921;CAMIONES Y TRACTO;CAMIONES;CABINADO;VOLVO;FE 6X2R;FRANCE                                                      ;6X2;26,500;2018
2019;ABRIL;LIMA;404189;MINIBUS,OMNIBUS;BUSES Y CHASISES;MOTORIZADO;VOLVO;B270F 4X2;BRAZIL;4X2;17,300;2017
2019;ABRIL;LIMA;842029;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;VOLVO;FM11 6X4T;SWEDEN                                                      ;6X4;28,100;2019
2019;ABRIL;LIMA;842062;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;VOLVO;FM11 6X4T;SWEDEN                                                      ;6X4;28,100;2019
2019;ABRIL;LIMA;842072;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;VOLVO;FM11 6X4T;SWEDEN                                                      ;6X4;28,100;2019
2019;ABRIL;LIMA;842000;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;VOLVO;FM11 6X4T;SWEDEN                                                      ;6X4;28,100;2019
2019;ABRIL;LIMA;838541;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;VOLVO;FM11 4X2T;SWEDEN                                                      ;4X2;20,100;2018
2019;ABRIL;AREQUIPA;841259;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;VOLVO;FM 6X4T;SWEDEN                                                      ;6X4;28,500;2019
2019;ABRIL;LIMA;862300;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;VOLVO;FM 6X4T;BRAZIL                                                      ;6X4;28,500;2019
2019;ABRIL;LIMA;842100;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;VOLVO;FH 6X4T;SWEDEN                                                      ;6X4;28,100;2019
2019;ABRIL;LIMA;842082;CAMIONES Y TRACTO;TRACTOCAMIONES;REMOLCADOR;VOLVO;FH 6X4T;SWEDEN                                                      ;6X4;28,100;2019
